,MSE,R2
RandomForest,654.936713779745,0.4207848760967867
Lasso,1036.5909912341158,0.08325618828181858
RandomForest_PCA3,1338.8394417382003,-0.18404730841473782
Lasso_PCA3,1160.8115874791642,-0.026602438561940334
RandomForest_PCA70,468.18570337319386,0.585944359991681
Lasso_PCA70,356.715076314277,0.6845271263949899
